Currency,Rate_to_USD,Last_Updated
USD,1.0,"Sat, 07 Mar 2026 00:00:01 +0000"
AED,3.6725,"Sat, 07 Mar 2026 00:00:01 +0000"
AFN,64.1602,"Sat, 07 Mar 2026 00:00:01 +0000"
ALL,82.8753,"Sat, 07 Mar 2026 00:00:01 +0000"
AMD,377.3889,"Sat, 07 Mar 2026 00:00:01 +0000"
ANG,1.79,"Sat, 07 Mar 2026 00:00:01 +0000"
AOA,920.6203,"Sat, 07 Mar 2026 00:00:01 +0000"
ARS,1452.25,"Sat, 07 Mar 2026 00:00:01 +0000"
AUD,1.4244,"Sat, 07 Mar 2026 00:00:01 +0000"
AWG,1.79,"Sat, 07 Mar 2026 00:00:01 +0000"
AZN,1.7004,"Sat, 07 Mar 2026 00:00:01 +0000"
BAM,1.6865,"Sat, 07 Mar 2026 00:00:01 +0000"
BBD,2.0,"Sat, 07 Mar 2026 00:00:01 +0000"
BDT,122.3219,"Sat, 07 Mar 2026 00:00:01 +0000"
BGN,1.6287,"Sat, 07 Mar 2026 00:00:01 +0000"
BHD,0.376,"Sat, 07 Mar 2026 00:00:01 +0000"
BIF,2976.6263,"Sat, 07 Mar 2026 00:00:01 +0000"
BMD,1.0,"Sat, 07 Mar 2026 00:00:01 +0000"
BND,1.279,"Sat, 07 Mar 2026 00:00:01 +0000"
BOB,6.9288,"Sat, 07 Mar 2026 00:00:01 +0000"
BRL,5.2675,"Sat, 07 Mar 2026 00:00:01 +0000"
BSD,1.0,"Sat, 07 Mar 2026 00:00:01 +0000"
BTN,91.921,"Sat, 07 Mar 2026 00:00:01 +0000"
BWP,14.0035,"Sat, 07 Mar 2026 00:00:01 +0000"
BYN,2.9339,"Sat, 07 Mar 2026 00:00:01 +0000"
BZD,2.0,"Sat, 07 Mar 2026 00:00:01 +0000"
CAD,1.3603,"Sat, 07 Mar 2026 00:00:01 +0000"
CDF,2228.676,"Sat, 07 Mar 2026 00:00:01 +0000"
CHF,0.7783,"Sat, 07 Mar 2026 00:00:01 +0000"
CLF,0.02298,"Sat, 07 Mar 2026 00:00:01 +0000"
CLP,908.5736,"Sat, 07 Mar 2026 00:00:01 +0000"
CNH,6.9058,"Sat, 07 Mar 2026 00:00:01 +0000"
CNY,6.9167,"Sat, 07 Mar 2026 00:00:01 +0000"
COP,3760.4195,"Sat, 07 Mar 2026 00:00:01 +0000"
CRC,473.1545,"Sat, 07 Mar 2026 00:00:01 +0000"
CUP,24.0,"Sat, 07 Mar 2026 00:00:01 +0000"
CVE,95.0781,"Sat, 07 Mar 2026 00:00:01 +0000"
CZK,21.0258,"Sat, 07 Mar 2026 00:00:01 +0000"
DJF,177.721,"Sat, 07 Mar 2026 00:00:01 +0000"
DKK,6.4407,"Sat, 07 Mar 2026 00:00:01 +0000"
DOP,59.4364,"Sat, 07 Mar 2026 00:00:01 +0000"
DZD,130.8831,"Sat, 07 Mar 2026 00:00:01 +0000"
EGP,50.1213,"Sat, 07 Mar 2026 00:00:01 +0000"
ERN,15.0,"Sat, 07 Mar 2026 00:00:01 +0000"
ETB,155.2536,"Sat, 07 Mar 2026 00:00:01 +0000"
EUR,0.8623,"Sat, 07 Mar 2026 00:00:01 +0000"
FJD,2.2103,"Sat, 07 Mar 2026 00:00:01 +0000"
FKP,0.7479,"Sat, 07 Mar 2026 00:00:01 +0000"
FOK,6.4407,"Sat, 07 Mar 2026 00:00:01 +0000"
GBP,0.7479,"Sat, 07 Mar 2026 00:00:01 +0000"
GEL,2.7301,"Sat, 07 Mar 2026 00:00:01 +0000"
GGP,0.7479,"Sat, 07 Mar 2026 00:00:01 +0000"
GHS,10.797,"Sat, 07 Mar 2026 00:00:01 +0000"
GIP,0.7479,"Sat, 07 Mar 2026 00:00:01 +0000"
GMD,74.0817,"Sat, 07 Mar 2026 00:00:01 +0000"
